Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe	< 0.01	14.536 K	15.100 K	2956	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	2.144 K	3.056 K	3020	Processo de Host para Serviços do Windows	Microsoft Corporation
  AdminService.exe	< 0.01	1.944 K	2.820 K	2224	Windows Setup API	Windows (R) Win 7 DDK provider
  svchost.exe		1.604 K	2.924 K	2304	Processo de Host para Serviços do Windows	Microsoft Corporation
   dasHost.exe	< 0.01	3.768 K	6.352 K	3496		
  svchost.exe		7.936 K	12.444 K	2120	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		27.580 K	30.648 K	2328	Processo de Host para Serviços do Windows	Microsoft Corporation
  ETDService.exe		1.160 K	2.104 K	3084	Elan Service	ELAN Microelectronics Corp.
   ETDCtrl.exe	< 0.01	7.100 K	24.532 K	8184	ETD Control Center	ELAN Microelectronics Corp.
    ETDTouch.exe		2.004 K	5.492 K	10700		
    ETDCtrlHelper.exe		2.516 K	7.164 K	2784		
  svchost.exe	< 0.01	41.200 K	36.996 K	3096	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		8.212 K	12.880 K	3220	Processo de Host para Serviços do Windows	Microsoft Corporation
  SettingsLauncher.exe		4.052 K	3.236 K	3228	SettingsLauncher	Samsung Electronics CO., LTD.
   SettingsCmdServer.exe	< 0.01	6.024 K	12.856 K	13140		
   SettingsEventHandler.exe	< 0.01	8.584 K	21.492 K	12940		
  ntpd.exe	< 0.01	2.644 K	4.016 K	3236		
  LmsaWindowsService.exe	< 0.01	11.708 K	4.132 K	3248	LmsaWindowsService	
  svchost.exe		1.608 K	1.508 K	3280	Processo de Host para Serviços do Windows	Microsoft Corporation
  sqlwriter.exe		1.752 K	2.680 K	3288	SQL Server VSS Writer - 64 Bit	Microsoft Corporation
  svchost.exe		1.280 K	1.876 K	3296	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	4.784 K	15.368 K	3304	Processo de Host para Serviços do Windows	Microsoft Corporation
  ijplmsvc.exe		1.836 K	4.260 K	3312		
  svchost.exe		3.292 K	6.468 K	3332	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		2.052 K	1.680 K	3444	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		2.424 K	4.352 K	3544	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		3.072 K	6.268 K	3596	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		3.660 K	5.316 K	3604	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		4.124 K	15.404 K	3632	Processo de Host para Serviços do Windows	Microsoft Corporation
  OfficeClickToRun.exe	< 0.01	35.128 K	24.820 K	3768	Microsoft Office Click-to-Run (SxS)	Microsoft Corporation
  MsMpEng.exe	< 0.01	492.204 K	280.476 K	3816	Antimalware Service Executable	Microsoft Corporation
  svchost.exe		5.652 K	12.840 K	2792	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		6.312 K	18.696 K	3988	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	2.464 K	4.228 K	5388	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		2.904 K	6.212 K	5968	Processo de Host para Serviços do Windows	Microsoft Corporation
  NisSrv.exe		6.360 K	6.900 K	1408	Microsoft Network Realtime Inspection Service	Microsoft Corporation
  svchost.exe		1.480 K	3.768 K	5400	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		6.308 K	13.340 K	6592	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		1.844 K	2.972 K	6980	Processo de Host para Serviços do Windows	Microsoft Corporation
   ctfmon.exe	< 0.01	4.304 K	19.464 K	3976		
  svchost.exe	< 0.01	2.108 K	4.048 K	7136	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		8.064 K	9.164 K	1432	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		2.124 K	4.024 K	8032	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	7.336 K	15.588 K	2672	Processo de Host para Serviços do Windows	Microsoft Corporation
  SearchIndexer.exe		46.188 K	45.244 K	6256	Indexador do Microsoft Windows Search	Microsoft Corporation
  SgrmBroker.exe		5.512 K	5.640 K	808	Serviço System Guard Runtime Monitor Broker	Microsoft Corporation
  svchost.exe		4.056 K	10.168 K	9092	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	3.712 K	7.008 K	8312	Processo de Host para Serviços do Windows	Microsoft Corporation
  SecurityHealthService.exe		5.096 K	9.780 K	7384	Windows Security Health Service	Microsoft Corporation
  svchost.exe		7.328 K	11.900 K	9476	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		1.668 K	3.332 K	2500	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		1.656 K	2.676 K	2116	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		6.052 K	2.900 K	5812	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		1.776 K	10.540 K	11496	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		1.964 K	6.680 K	11444	Processo de Host para Serviços do Windows	Microsoft Corporation
  PresentationFontCache.exe		26.964 K	13.280 K	12076	PresentationFontCache.exe	Microsoft Corporation
  svchost.exe		1.352 K	4.524 K	5992	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	10.740 K	25.908 K	5288	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		9.712 K	33.588 K	10968	Processo de Host para Serviços do Windows	Microsoft Corporation
  core.exe	< 0.01	252.364 K	173.576 K	4880	Topaz OFD - Protection Module	Topaz OFD
   core.exe	< 0.01	94.696 K	80.604 K	6496		
  svchost.exe		1.760 K	6.804 K	4468	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe	< 0.01	3.976 K	23.024 K	7736	Processo de Host para Serviços do Windows	Microsoft Corporation
  svchost.exe		5.252 K	17.608 K	10316	Processo de Host para Serviços do Windows	Microsoft Corporation
  SteamService.exe	< 0.01	5.596 K	9.468 K	7940	Steam Client Service	Valve Corporation
  svchost.exe		1.876 K	7.504 K	7628	Processo de Host para Serviços do Windows	Microsoft Corporation
 lsass.exe		10.616 K	19.036 K	900	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1.608 K	1.300 K	60		
GoogleCrashHandler.exe		1.776 K	1.412 K	7520		
GoogleCrashHandler64.exe		1.676 K	556 K	7616		
csrss.exe	0.67	2.788 K	7.056 K	11428		
winlogon.exe		2.560 K	9.976 K	8156		
 dwm.exe	3.33	81.004 K	89.368 K	1816		
 fontdrvhost.exe		6.756 K	14.936 K	7992		
igfxEM.exe		7.576 K	12.700 K	6152	igfxEM Module	Intel Corporation
igfxHK.exe		7.200 K	9.972 K	6784	igfxHK Module	Intel Corporation
explorer.exe	< 0.01	298.892 K	284.664 K	7096	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1.712 K	8.512 K	12656	Windows Security notification icon	Microsoft Corporation
 OneDrive.exe		275.068 K	61.172 K	5920	Microsoft OneDrive	Microsoft Corporation
 steam.exe	0.67	69.508 K	54.592 K	2464	Steam	Valve Corporation
  steamwebhelper.exe	< 0.01	22.712 K	59.732 K	9192	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		7.664 K	10.988 K	4848	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		46.096 K	26.324 K	9060	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe	< 0.01	12.516 K	23.040 K	1016	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe	< 0.01	63.844 K	49.448 K	9220	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		23.240 K	27.572 K	6540	Steam Client WebHelper	Valve Corporation
   steamwebhelper.exe		79.664 K	55.756 K	9632	Steam Client WebHelper	Valve Corporation
 notepad++.exe		15.548 K	23.092 K	8804	Notepad++ : a free (GPL) source code editor	Don HO don.h@free.fr
 Code.exe	< 0.01	54.344 K	78.160 K	4860	Visual Studio Code	Microsoft Corporation
  Code.exe		10.164 K	17.140 K	5712	Visual Studio Code	Microsoft Corporation
  Code.exe	< 0.01	94.356 K	98.576 K	11128	Visual Studio Code	Microsoft Corporation
  Code.exe	< 0.01	13.108 K	31.600 K	4168	Visual Studio Code	Microsoft Corporation
  Code.exe		282.356 K	272.376 K	556	Visual Studio Code	Microsoft Corporation
  Code.exe	< 0.01	49.488 K	72.992 K	8384	Visual Studio Code	Microsoft Corporation
   Code.exe		25.380 K	48.728 K	5048	Visual Studio Code	Microsoft Corporation
   Code.exe		23.028 K	47.032 K	6836	Visual Studio Code	Microsoft Corporation
  Code.exe	< 0.01	134.144 K	118.424 K	11180	Visual Studio Code	Microsoft Corporation
   cpptools.exe	< 0.01	150.448 K	105.996 K	4428	C/C++ Extension for Visual Studio Code	Microsoft Corporation
    conhost.exe		6.340 K	5.700 K	1092	Host da Janela do Console	Microsoft Corporation
    cpptools-srv.exe	< 0.01	81.496 K	42.196 K	6488	C/C++ IntelliSense Server for Visual Studio Code	Microsoft Corporation
    cpptools-srv.exe	< 0.01	153.540 K	46.040 K	14316	C/C++ IntelliSense Server for Visual Studio Code	Microsoft Corporation
   Code.exe	< 0.01	20.180 K	43.892 K	8380	Visual Studio Code	Microsoft Corporation
 powershell.exe	< 0.01	65.184 K	58.024 K	10920	Windows PowerShell	Microsoft Corporation
  conhost.exe		5.300 K	13.328 K	2420	Host da Janela do Console	Microsoft Corporation
 rundll32.exe		1.656 K	8.848 K	5804	Processo de host do Windows (Rundll32)	Microsoft Corporation
 Heartbound Save Editor.exe		47.544 K	74.444 K	12572		
  gdbus.exe		7.016 K	19.840 K	10956		
 procexp64.exe	11.86	42.304 K	78.140 K	5280	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
igfxTray.exe		13.032 K	12.156 K	6996	igfxTray Module	Intel Corporation
chrome.exe	< 0.01	190.960 K	245.932 K	6564	Google Chrome	Google LLC
 chrome.exe		2.196 K	8.008 K	1912	Google Chrome	Google LLC
 chrome.exe	< 0.01	104.008 K	96.256 K	8696	Google Chrome	Google LLC
 chrome.exe	< 0.01	18.604 K	42.528 K	3116	Google Chrome	Google LLC
 chrome.exe	< 0.01	8.596 K	18.748 K	13464	Google Chrome	Google LLC
 chrome.exe	< 0.01	28.036 K	57.504 K	9164	Google Chrome	Google LLC
 chrome.exe		117.852 K	149.060 K	6752	Google Chrome	Google LLC
 chrome.exe		15.516 K	38.164 K	5976	Google Chrome	Google LLC
 chrome.exe	< 0.01	42.104 K	72.460 K	7744	Google Chrome	Google LLC
 chrome.exe	< 0.01	71.892 K	42.288 K	11884	Google Chrome	Google LLC
 chrome.exe	< 0.01	36.052 K	51.064 K	1404	Google Chrome	Google LLC
 chrome.exe	< 0.01	40.356 K	58.456 K	2528	Google Chrome	Google LLC
 chrome.exe	< 0.01	27.816 K	50.448 K	14268	Google Chrome	Google LLC
 chrome.exe	< 0.01	27.868 K	50.772 K	6064	Google Chrome	Google LLC
 chrome.exe	< 0.01	27.704 K	50.332 K	10924	Google Chrome	Google LLC
 chrome.exe		47.568 K	66.768 K	14252	Google Chrome	Google LLC
 chrome.exe		13.792 K	28.616 K	12488	Google Chrome	Google LLC
 chrome.exe	< 0.01	51.252 K	72.224 K	8504	Google Chrome	Google LLC
 chrome.exe	< 0.01	32.656 K	62.140 K	13028	Google Chrome	Google LLC
 chrome.exe	< 0.01	27.560 K	50.256 K	13168	Google Chrome	Google LLC
 chrome.exe	< 0.01	53.828 K	72.940 K	5916	Google Chrome	Google LLC
 chrome.exe	< 0.01	7.588 K	21.676 K	12412	Google Chrome	Google LLC
 chrome.exe		57.604 K	100.500 K	12608	Google Chrome	Google LLC
 chrome.exe		40.632 K	85.628 K	2884	Google Chrome	Google LLC
 chrome.exe	< 0.01	45.592 K	87.688 K	9468	Google Chrome	Google LLC
 chrome.exe		50.440 K	88.756 K	1800	Google Chrome	Google LLC
 chrome.exe		12.480 K	29.064 K	9076	Google Chrome	Google LLC
perfmon.exe	0.66	48.260 K	65.976 K	5080		

Process: Heartbound Save Editor.exe Pid: 12572

Name	Description	Company Name	Path
{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000005.db			C:\ProgramData\Microsoft\Windows\Caches\{6AF0698E-D558-4F6E-9B3C-3716689AF493}.2.ver0x0000000000000005.db
{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x00000000000001f6.db			C:\Users\Tiago\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x00000000000001f6.db
{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000005.db			C:\ProgramData\Microsoft\Windows\Caches\{DDF571F2-BE98-426D-8288-1A9A39C3FDA2}.2.ver0x0000000000000005.db
advapi32.dll	API de base do Windows 32 avançada	Microsoft Corporation	C:\Windows\System32\advapi32.dll
AppXDeploymentClient.dll	DLL do Cliente de Implantação AppX	Microsoft Corporation	C:\Windows\System32\AppXDeploymentClient.dll
BCP47mrm.dll	BCP47 Language Classes for Resource Management	Microsoft Corporation	C:\Windows\System32\BCP47mrm.dll
bcrypt.dll	Biblioteca de Primitivos Criptografados do Windows	Microsoft Corporation	C:\Windows\System32\bcrypt.dll
bcryptprimitives.dll	Windows Cryptographic Primitives Library	Microsoft Corporation	C:\Windows\System32\bcryptprimitives.dll
C_1250.NLS			C:\Windows\System32\C_1250.NLS
C_1251.NLS			C:\Windows\System32\C_1251.NLS
C_1253.NLS			C:\Windows\System32\C_1253.NLS
C_1254.NLS			C:\Windows\System32\C_1254.NLS
C_1255.NLS			C:\Windows\System32\C_1255.NLS
C_1256.NLS			C:\Windows\System32\C_1256.NLS
C_1257.NLS			C:\Windows\System32\C_1257.NLS
C_1258.NLS			C:\Windows\System32\C_1258.NLS
C_874.NLS			C:\Windows\System32\C_874.NLS
C_932.NLS			C:\Windows\System32\C_932.NLS
C_936.NLS			C:\Windows\System32\C_936.NLS
C_949.NLS			C:\Windows\System32\C_949.NLS
C_950.NLS			C:\Windows\System32\C_950.NLS
cfgmgr32.dll	Configuration Manager DLL	Microsoft Corporation	C:\Windows\System32\cfgmgr32.dll
clbcatq.dll	COM+ Configuration Catalog	Microsoft Corporation	C:\Windows\System32\clbcatq.dll
coloradapterclient.dll	Microsoft Color Adapter Client	Microsoft Corporation	C:\Windows\System32\coloradapterclient.dll
combase.dll	Microsoft COM para Windows	Microsoft Corporation	C:\Windows\System32\combase.dll
comctl32.dll	Biblioteca de Controles de Experiência do Usuário	Microsoft Corporation	C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e\comctl32.dll
comdlg32.dll	DLL de diálogos comuns	Microsoft Corporation	C:\Windows\System32\comdlg32.dll
CoreMessaging.dll	Microsoft CoreMessaging Dll	Microsoft Corporation	C:\Windows\System32\CoreMessaging.dll
CoreUIComponents.dll	Microsoft Core UI Components Dll	Microsoft Corporation	C:\Windows\System32\CoreUIComponents.dll
crypt32.dll	Crypto API32	Microsoft Corporation	C:\Windows\System32\crypt32.dll
cryptbase.dll	Base cryptographic API DLL	Microsoft Corporation	C:\Windows\System32\cryptbase.dll
cversions.2.db			C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db
cversions.2.db			C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db
devobj.dll	Device Information Set DLL	Microsoft Corporation	C:\Windows\System32\devobj.dll
dnsapi.dll	DLL da API de cliente DNS	Microsoft Corporation	C:\Windows\System32\dnsapi.dll
dwmapi.dll	API do Gerenciador de Janelas da Área de Trabalho Microsoft	Microsoft Corporation	C:\Windows\System32\dwmapi.dll
DWrite.dll	Serviços de Tipografia de DirectX da Microsoft	Microsoft Corporation	C:\Windows\System32\DWrite.dll
gdi32.dll	GDI Client DLL	Microsoft Corporation	C:\Windows\System32\gdi32.dll
gdi32full.dll	GDI Client DLL	Microsoft Corporation	C:\Windows\System32\gdi32full.dll
GdiPlus.dll	Microsoft GDI+	Microsoft Corporation	C:\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.1566_none_91a49058cc87e409\GdiPlus.dll
Heartbound Save Editor.exe			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\Heartbound Save Editor.exe
hid.dll	Biblioteca de Usuário de HID	Microsoft Corporation	C:\Windows\System32\hid.dll
icm32.dll	Microsoft Color Management Module (CMM)	Microsoft Corporation	C:\Windows\System32\icm32.dll
IconCodecService.dll	Converts a PNG part of the icon to a legacy bmp icon	Microsoft Corporation	C:\Windows\System32\IconCodecService.dll
iertutil.dll	Executar utilitário de tempo do Internet Explorer	Microsoft Corporation	C:\Windows\System32\iertutil.dll
imm32.dll	Multi-User Windows IMM32 API Client DLL	Microsoft Corporation	C:\Windows\System32\imm32.dll
InputHost.dll	InputHost	Microsoft Corporation	C:\Windows\System32\InputHost.dll
IPHLPAPI.DLL	API de Auxiliar de IP	Microsoft Corporation	C:\Windows\System32\IPHLPAPI.DLL
KBDBR.DLL	Brazilian Keyboard Layout	Microsoft Corporation	C:\Windows\System32\KBDBR.DLL
kernel.appcore.dll	AppModel API Host	Microsoft Corporation	C:\Windows\System32\kernel.appcore.dll
kernel32.dll	DLL cliente da API BASE do Windows NT	Microsoft Corporation	C:\Windows\System32\kernel32.dll
KernelBase.dll	DLL cliente da API BASE do Windows NT	Microsoft Corporation	C:\Windows\System32\KernelBase.dll
KernelBase.dll.mui	DLL cliente da API BASE do Windows NT	Microsoft Corporation	C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackpt-BR_19041.40.125.0_neutral__8wekyb3d8bbwe\Windows\System32\pt-BR\KernelBase.dll.mui
libatk-1.0-0.dll	atk	Sun Microsystems Inc.	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libatk-1.0-0.dll
libbrotlicommon.dll			C:\msys64\mingw64\bin\libbrotlicommon.dll
libbrotlidec.dll			C:\msys64\mingw64\bin\libbrotlidec.dll
libbz2-1.dll			C:\msys64\mingw64\bin\libbz2-1.dll
libcairo-2.dll			C:\msys64\mingw64\bin\libcairo-2.dll
libcairo-gobject-2.dll			C:\msys64\mingw64\bin\libcairo-gobject-2.dll
libdatrie-1.dll			C:\msys64\mingw64\bin\libdatrie-1.dll
libepoxy-0.dll			C:\msys64\mingw64\bin\libepoxy-0.dll
libexpat-1.dll			C:\msys64\mingw64\bin\libexpat-1.dll
libffi-7.dll			C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libffi-7.dll
libfontconfig-1.dll			C:\msys64\mingw64\bin\libfontconfig-1.dll
libfreetype-6.dll	Font Rendering Library	The FreeType Project	C:\msys64\mingw64\bin\libfreetype-6.dll
libfribidi-0.dll			C:\msys64\mingw64\bin\libfribidi-0.dll
libgcc_s_seh-1.dll			C:\msys64\mingw64\bin\libgcc_s_seh-1.dll
libgdk_pixbuf-2.0-0.dll	GIMP Toolkit	The GTK developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libgdk_pixbuf-2.0-0.dll
libgdk-3-0.dll	GIMP Drawing Kit	The GTK developer community	C:\msys64\mingw64\bin\libgdk-3-0.dll
libgio-2.0-0.dll	Gio	The GLib developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libgio-2.0-0.dll
libglib-2.0-0.dll	GLib	The GLib developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libglib-2.0-0.dll
libgmodule-2.0-0.dll	GModule	The GLib developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libgmodule-2.0-0.dll
libgobject-2.0-0.dll	GObject	The GLib developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libgobject-2.0-0.dll
libgraphite2.dll			C:\msys64\mingw64\bin\libgraphite2.dll
libgtk-3-0.dll	GIMP Toolkit	The GTK developer community	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libgtk-3-0.dll
libharfbuzz-0.dll			C:\msys64\mingw64\bin\libharfbuzz-0.dll
libiconv-2.dll	LGPLed libiconv for Windows	Free Software Foundation	C:\msys64\mingw64\bin\libiconv-2.dll
libintl-8.dll	LGPLed libintl for Windows	Free Software Foundation	C:\Users\Tiago\Desktop\C\Projetos\Heartbound Save Editor\build\release\bin\libintl-8.dll
liblzma-5.dll	liblzma data compression library	The Tukaani Project <https://tukaani.org/>	C:\msys64\mingw64\bin\liblzma-5.dll
libpango-1.0-0.dll	Pango	Red Hat Software	C:\msys64\mingw64\bin\libpango-1.0-0.dll
libpangocairo-1.0-0.dll	PangoCairo	Red Hat Software	C:\msys64\mingw64\bin\libpangocairo-1.0-0.dll
libpangoft2-1.0-0.dll	PangoFT2	Red Hat Software	C:\msys64\mingw64\bin\libpangoft2-1.0-0.dll
libpangowin32-1.0-0.dll	PangoWin32	Red Hat Software	C:\msys64\mingw64\bin\libpangowin32-1.0-0.dll
